COVID-19 Vaccinations in the United States
Date generated: Wed May 10 2023 11:05:23 GMT-0400 (Eastern Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
District of Columbia,2750955,389792,476289,2137346,302848,1929001,333979,836416,95,734889,95,643873,91.2,569695,95,1425045,N/A,795480,N/A,73200,3500,N/A,44291,687280,N/A,1163291,N/A,253,5753,115623,95,95859,95,401912,460154,3149600,777615,95,602393,95,2023427,331843,451158,819978,95,634513,95,2106970,319054,416571,226348,32.1,225984,34.2,218031,35.8,210216,36.4,50426,57.7,N/A,N/A
Dept of Defense,7770830,N/A,N/A,9420423,N/A,8679203,N/A,4679118,N/A,4291219,N/A,3735389,N/A,3448254,N/A,4629770,N/A,2346340,N/A,210800,38900,N/A,332031,2993576,N/A,5841391,N/A,3954,53941,483226,N/A,256728,N/A,894641,N/A,N/A,4556132,N/A,3656653,N/A,9200140,N/A,N/A,4664218,N/A,3729849,N/A,9393226,N/A,N/A,192624,N/A,192487,N/A,187650,N/A,179721,N/A,35457,N/A,N/A,N/A
Delaware,3341285,343131,433825,2169096,222754,1964954,255125,861732,88.5,770145,95,715754,73.5,641083,83.2,1651775,N/A,1071000,N/A,102600,5800,N/A,63642,747546,N/A,1140621,N/A,196,2625,225147,95,193627,95,709045,375343,1768760,823004,95,686229,81.7,2088564,248696,397863,856018,93.1,713111,77.6,2156978,234698,363561,206298,21.2,206186,22.4,202530,24.1,196210,25.5,101818,53.9,N/A,N/A
Florida,61381235,285790,355878,42231211,196628,39148661,226978,17803041,82.9,16268481,94.3,14967975,69.7,13729837,79.6,31997445,N/A,20028720,N/A,2477700,65100,N/A,1510626,14693069,N/A,23412125,N/A,4336,191624,4943346,95,4243479,94.4,14541114,323327,1364840,17278495,92.4,14567998,77.9,41216009,220453,328312,17750577,87.3,14942882,73.5,42134983,207174,301806,2497640,11.6,2496214,12.3,2470153,13.2,2423558,14.1,1387946,30.9,N/A,N/A
Federated States of Micronesia,291840,285223,437384,209225,204481,143343,214830,86197,84.2,56185,84.2,73686,72,50644,75.9,115460,N/A,127940,N/A,12800,N/A,N/A,13882,106479,N/A,71993,N/A,N/A,177,4252,88.4,3950,82.1,11738,243932,6064840,67465,85.2,60201,76.1,169672,214389,368755,81673,88,72202,77.8,201820,217429,314412,16581,16.2,16574,17.9,14538,18.4,12025,18,1138,23.6,N/A,N/A
Georgia,28656825,269904,353197,17111274,161162,15530171,191410,7285819,68.6,6506196,80.2,6102280,57.5,5493619,67.7,14773655,N/A,9763000,N/A,869100,42700,N/A,349327,6169960,N/A,9412290,N/A,2435,57365,1493745,95,1315707,86.7,4402460,290217,1889100,6997324,77.9,5893464,65.6,16533300,183947,318831,7246891,72.8,6084193,61.1,17032087,170990,287694,1119483,10.5,1117978,11.2,1095316,12.2,1059221,13.1,471454,31.1,N/A,N/A
Guam,386180,229202,337146,399682,237215,342118,298678,159777,94.8,132527,95,144921,86,121985,95,232940,N/A,99980,N/A,25100,900,N/A,13930,119890,N/A,246696,N/A,25,899,18321,95,17119,95,59123,368115,2404460,149016,95,136697,95,378965,288590,294084,159205,95,144713,94.7,398660,260970,252800,18030,10.7,18024,11.8,17502,13.3,16527,14.4,4449,27.7,N/A,N/A
Hawaii,4657350,328939,417324,3523861,248883,3147076,281995,1297553,91.6,1129803,95,1156570,81.7,1010218,90.5,2369320,N/A,1504020,N/A,124900,4700,N/A,71632,1170660,N/A,1953549,N/A,366,1316,281286,95,257976,95,996685,371277,1734920,1220827,95,1092651,90.2,3360516,277474,384553,1285332,95,1149939,86.4,3500123,263038,350005,321109,22.7,320729,24.1,313118,25.9,302154,27.1,141745,52.8,N/A,N/A
Iowa,9375425,297154,386101,6126887,194192,5559009,228933,2235091,70.8,1985163,81.8,2036179,64.5,1818065,74.9,4577895,N/A,3077920,N/A,293100,22100,N/A,181040,2170908,N/A,3132520,N/A,779,2801,564340,95,532717,95,2008080,363155,1695520,2126653,79.5,1945669,72.7,5887368,219983,350315,2215307,74.9,2024629,68.4,6083815,205574,316798,630783,20,630046,21.3,617096,23.1,596491,24.6,307232,55.6,N/A,N/A
Idaho,4746890,265625,354546,2890835,161764,2642203,197347,1145732,64.1,1027888,76.8,1011990,56.6,909439,67.9,2346190,N/A,1604380,N/A,160200,17000,N/A,90864,993965,N/A,1550409,N/A,588,5906,287531,95,263209,90.6,918483,315988,1633090,1100506,73.6,974792,65.2,2798225,187121,317431,1139183,68.2,1008592,60.4,2877487,172215,284098,246957,13.8,246827,14.8,242215,16.2,234437,17.5,121567,41.8,N/A,N/A
Indian Health Svc,4116535,197643,N/A,2568895,123338,2227658,N/A,1166737,56,1000306,N/A,920432,44.2,793332,N/A,1950935,N/A,1529280,N/A,111800,8400,N/A,42017,1098586,N/A,1250122,N/A,72,1168,187272,N/A,148718,N/A,479667,N/A,N/A,1100087,N/A,873542,N/A,2438458,N/A,N/A,1157617,N/A,917472,N/A,2552328,N/A,N/A,175429,8.4,175192,N/A,167674,N/A,154819,N/A,47297,N/A,N/A,N/A
Illinois,38232065,301709,387987,26819579,211647,23790993,241436,10031908,79.2,8693073,88.2,9051386,71.4,7872220,79.9,19851535,N/A,11169140,N/A,1185600,32900,N/A,689266,8556481,N/A,14936626,N/A,2664,39044,2010238,95,1864770,91.3,6936404,339482,1871160,9414711,86.9,8531351,78.7,25476133,235067,352766,9924258,83.2,8985111,75.3,26596713,223035,320607,2564334,20.2,2555935,21.4,2484842,22.9,2389276,24.2,1012524,49.6,N/A,N/A
Indiana,18948140,281455,366910,11192412,166251,10187813,197276,4349307,64.6,3878555,75.1,3895825,57.9,3511063,68,10052520,N/A,5571300,N/A,634000,12300,N/A,318251,3752835,N/A,6321356,N/A,701,42542,1046442,95,975920,89.9,3432693,316161,1745180,4152156,72.8,3751630,65.8,10797467,189262,332130,4320552,68.4,3885861,61.5,11142164,176471,300103,748650,11.1,748627,11.9,733869,12.9,710574,13.8,360997,33.2,N/A,N/A
Kansas,8337105,286173,376722,5383363,184785,4810218,217356,2229026,76.5,1958864,88.5,1909430,65.5,1688344,76.3,4161795,N/A,2757140,N/A,262700,22600,N/A,139582,1863775,N/A,2904340,N/A,781,10720,513453,95,462586,95,1588905,334164,1753380,2112480,86.2,1820161,74.2,5143423,209790,340054,2208492,81,1898149,69.6,5339446,195729,305614,459835,15.8,459269,16.8,448253,18.3,431378,19.5,212240,44.6,N/A,N/A
Kentucky,12177065,272559,351451,7505555,167997,6884228,198690,3085515,69.1,2786075,80.4,2668886,59.7,2420648,69.9,5909535,N/A,4310000,N/A,395600,14800,N/A,241672,2835252,N/A,3859684,N/A,478,2788,750667,95,671683,89.5,2265880,301890,1622390,2967431,78,2577298,67.7,7268436,190965,319930,3069199,73.2,2660759,63.4,7471925,178112,290271,559817,12.5,559370,13.3,551241,14.5,537100,15.5,274783,36.6,N/A,N/A
Louisiana,10259450,220691,288093,6957067,149653,6439879,180836,2923660,62.9,2655752,74.6,2561279,55.1,2349962,66,5164550,N/A,3807980,N/A,330500,10000,N/A,202170,2685556,N/A,3705031,N/A,715,3962,687282,92.7,647292,87.4,2088222,281803,1384500,2833484,72.2,2497261,63.7,6792441,173130,261499,2915501,67.1,2557696,58.8,6941087,159663,235995,356159,7.7,356157,8.2,352928,9,346762,9.7,183091,24.7,N/A,N/A
Massachusetts,23674020,343475,427352,18137370,263146,16087598,290405,7389580,95,6461221,95,5822636,84.5,5085442,91.8,11662830,N/A,7490080,N/A,633500,15100,N/A,409230,6252637,N/A,9308915,N/A,1378,463,1548236,95,1228028,95,4552667,389339,2024580,6944401,95,5478914,91.1,17188244,285673,393469,7302809,95,5768737,88.3,17959232,274810,362257,2122718,30.8,2114018,32.3,2043051,34,1945095,35.1,753670,64.5,N/A,N/A
Maryland,22298750,368838,473334,14704163,243218,12938352,274642,5564484,92,4793370,95,4834128,80,4173549,88.6,11814000,N/A,6422360,N/A,616400,38900,N/A,371110,4782122,N/A,8028334,N/A,3358,26211,1057198,95,954010,95,3626031,377949,2324250,5208755,95,4539701,87.9,13921836,269652,431905,5498819,95,4792969,84.3,14559940,256168,392325,1466117,24.3,1460814,25.7,1416303,27.4,1353317,28.7,536916,56,N/A,N/A
Maine,4964830,369349,453256,3536883,263119,3216236,293621,1315202,95,1180155,95,1123811,83.6,1006016,91.8,2361030,N/A,1595120,N/A,159400,7500,N/A,145429,1272085,N/A,1683053,N/A,416,5916,366533,95,303565,95,1199872,420617,1740430,1251640,95,1070387,90.3,3392545,286306,418996,1302400,95,1115967,87.1,3507904,273911,387673,416295,31,415724,32.5,405992,34.3,392586,35.8,200741,70.4,N/A,N/A
Marshall Islands,162240,208693,341349,101838,130997,73956,155602,44709,57.5,29361,61.8,36066,46.4,26061,54.8,53540,N/A,74500,N/A,12800,1100,N/A,3101,67109,N/A,24980,N/A,N/A,5,1628,43.6,1463,39.2,4741,127036,4347270,35437,61.8,30627,53.4,86362,150538,282801,42001,60.7,34984,50.6,97824,141368,234458,6192,8,6088,8.8,5538,9.7,4792,10.1,374,10,N/A,N/A
Michigan,29548820,295877,376758,18750089,187748,17079481,217769,6977575,69.9,6245916,79.6,6253285,62.6,5614671,71.6,14452250,N/A,9925120,N/A,967800,33900,N/A,473371,6665727,N/A,9824583,N/A,1973,6164,1755783,95,1614693,91.5,5823370,329861,1673770,6653392,77.4,5983474,69.6,18039262,209881,343791,6919703,73.5,6220238,66,18624136,197700,313668,1789779,17.9,1786765,19,1747618,20.3,1692891,21.6,825083,46.7,N/A,N/A
Minnesota,18479860,327678,426149,12813121,227198,11334048,261365,4460712,79.1,3839401,88.5,4081331,72.4,3532609,81.5,9468070,N/A,5378420,N/A,511500,19500,N/A,361733,4065504,N/A,6845303,N/A,1246,8499,975202,95,919147,95,3633402,394771,2007850,4142639,86.7,3818200,79.9,12099997,253239,386763,4389836,83,4038763,76.4,12661288,239434,349467,1505246,26.7,1501857,28.4,1452643,30.4,1389226,32,596074,64.8,N/A,N/A
Missouri,15623555,254562,327755,10500295,171086,9572437,200813,4268408,69.5,3827050,80.3,3633715,59.2,3275589,68.7,7967645,N/A,5140460,N/A,441000,21700,N/A,254289,3452249,N/A,5870183,N/A,1083,2737,1057922,95,942903,88.8,3268434,307751,1471090,4081892,78,3492869,66.7,10119458,193277,298403,4235505,73.4,3614906,62.7,10428335,180754,270803,906689,14.8,905366,15.7,887004,16.9,861538,18.1,433891,40.9,N/A,N/A
Northern Mariana Islands,152250,293630,422037,118553,228642,95274,264100,46838,90.3,36219,95,44034,84.9,34478,95,108950,N/A,28020,N/A,3700,200,N/A,1399,15547,N/A,96661,N/A,1,9,3301,87.9,3157,84.1,10084,268620,4055670,41683,95,39675,93.8,108178,255800,360014,46375,95,43907,91.3,117670,244626,316515,4871,9.4,4860,10.1,4560,10.8,4120,11.4,813,21.7,N/A,N/A
Mississippi,7238025,243201,317796,4304122,144621,3976546,174596,1838630,61.8,1670142,73.3,1600015,53.8,1462634,64.2,3695395,N/A,2600260,N/A,235400,8900,N/A,95789,1648057,N/A,2353615,N/A,321,4731,457010,93.9,419778,86.3,1334929,274286,1487190,1786329,70.8,1559786,61.9,4204950,166769,287061,1834623,65.7,1598649,57.2,4297214,153875,259179,199077,6.7,199076,7.1,197539,7.8,193942,8.5,109896,22.6,N/A,N/A
Montana,2710705,253627,322630,1870219,174987,1716233,204267,731282,68.4,657706,78.3,633501,59.3,574216,68.3,1267535,N/A,952100,N/A,106500,7300,N/A,62623,712368,N/A,919429,N/A,257,2632,205108,95,184601,89.4,650198,314962,1313090,699322,76.2,610117,66.5,1807218,196951,295413,726011,72.1,631444,62.7,1860852,184678,269020,171734,16.1,171731,17,168494,18.4,163776,19.5,86844,42.1,N/A,N/A
North Carolina,30225790,288192,369176,19421329,185175,17550228,214357,9453551,90.1,8477420,95,7016501,66.9,6314096,77.1,15371580,N/A,9753880,N/A,959600,47500,N/A,524737,6639307,N/A,10657007,N/A,1773,1576,2364936,95,1810056,95,5606223,320155,1726110,9045123,95,6735360,75,18641628,207463,336383,9390004,95,6985292,70.7,19294919,195326,305981,1550861,14.8,1548240,15.7,1512977,16.8,1460232,17.8,686300,39.2,N/A,N/A
North Dakota,1908130,250390,327919,1313608,172375,1184880,203626,530510,69.6,473571,81.4,448628,58.9,403906,69.4,990720,N/A,600920,N/A,53600,2800,N/A,40028,430110,N/A,713992,N/A,217,345,127567,95,109987,91.8,386656,322630,1592170,503486,79,429324,67.4,1253209,196660,299434,524859,74.1,446374,63.1,1301602,183852,269525,120196,15.8,120176,17,116876,18.3,112490,19.3,56767,47.4,N/A,N/A
Nebraska,5470070,282777,375090,3819114,197431,3409524,233796,1425528,73.7,1243941,85.3,1286568,66.5,1128277,77.4,2905630,N/A,1647380,N/A,152400,7400,N/A,96439,1240679,N/A,2124440,N/A,497,10690,318694,95,297766,95,1115558,357027,1750660,1344816,83.1,1219508,75.4,3644519,225331,338200,1411807,78.3,1277838,70.9,3791046,210202,303298,339721,17.6,338591,18.8,330248,20.4,317448,21.8,150171,48.1,N/A,N/A
New Hampshire,5109390,375770,462615,2979617,219136,2717929,246087,1203509,88.5,1082794,95,982208,72.2,890866,80.7,2624840,N/A,1454740,N/A,189000,4900,N/A,90677,1006041,N/A,1545779,N/A,325,544,304521,95,257228,95,911551,359071,2012650,1152229,95,946041,78.9,2879761,240267,426291,1194607,92.2,977339,75.4,2961967,228531,394216,321741,23.7,321197,24.8,314939,26.3,304533,27.6,146691,57.8,N/A,N/A
New Jersey,29563065,332835,425759,19811283,223045,17707055,255012,8428544,94.9,7426646,95,7042224,79.3,6194365,89.2,15503585,N/A,9139940,N/A,1015900,44900,N/A,585861,6897626,N/A,10828177,N/A,1990,615,1686270,95,1438826,95,4875219,330403,2003550,8010212,95,6700574,88,18978599,249116,388049,8372781,95,7007362,83.7,19701645,235454,353308,1510332,17,1507997,18,1475945,19.4,1425802,20.5,601534,40.8,N/A,N/A
New Mexico,6161655,293856,380117,4745214,226304,4238104,261451,1988529,94.8,1733389,95,1582042,75.4,1384838,85.4,3002385,N/A,2020200,N/A,190600,8200,N/A,121620,1723355,N/A,2408290,N/A,2873,17781,466484,95,381403,95,1363932,361205,1631770,1878230,95,1503408,84.1,4537673,253866,344721,1972385,95,1574928,79.7,4715657,238666,311849,464695,22.2,464192,23.5,452826,25.3,434448,26.8,199000,52.7,N/A,N/A
Nevada,7707650,250236,322831,5585402,181335,5102774,213727,2399568,77.9,2158520,90.4,1966248,63.8,1777673,74.5,4208770,N/A,2313400,N/A,260400,8100,N/A,189065,1769475,N/A,3214945,N/A,655,723,518327,95,442620,89.2,1502486,302938,1554050,2316586,88.4,1902902,72.6,5422285,206815,293983,2391680,82.6,1962290,67.8,5569532,192412,266279,399793,13,399629,13.8,393276,15,382859,16,182863,36.9,N/A,N/A
New York State,61173695,314460,396581,45140882,232044,40719076,263977,18423089,94.7,16373112,95,15759972,81,14011487,90.8,32657655,N/A,18769880,N/A,1964500,41500,N/A,1461192,15023144,N/A,25118305,N/A,4282,48417,3629504,95,3195105,95,10998252,333670,1855920,17546085,95,15039057,89.7,43324041,258293,364711,18292846,95,15683281,85.6,44869974,244836,333798,3417082,17.6,3412206,18.6,3339399,19.9,3235204,21,1394206,42.3,N/A,N/A
Ohio,31626655,270565,347123,21086553,180395,19217840,210928,7705729,65.9,6888714,75.6,7088228,60.6,6366664,69.9,16355895,N/A,10088440,N/A,1014000,31100,N/A,638872,7247111,N/A,11253795,N/A,2249,25046,1938934,94.8,1833954,89.6,6661034,325513,1545540,7344554,73.4,6786221,67.9,20290681,202893,316244,7638015,69.4,7047217,64.1,20936100,190358,287560,1887342,16.1,1885207,17.1,1842180,18.4,1783759,19.6,889073,43.4,N/A,N/A
Oklahoma,9679390,244616,322138,6768699,171058,6202948,206439,2961308,74.8,2678388,89.1,2399286,60.6,2172810,72.3,4611140,N/A,3591280,N/A,342300,31900,N/A,158029,2523090,N/A,3591089,N/A,998,13744,715090,95,594207,93.6,1991270,313521,1524000,2863660,86.1,2325568,69.9,6579248,197859,291090,2950089,79.7,2394019,64.7,6747816,182303,261504,476790,12,476358,12.9,469462,14.1,457031,15.2,239047,37.6,N/A,N/A
Oregon,14189365,336421,423415,9382077,222443,8438088,251795,3457861,82,3049781,91,3064640,72.7,2725478,81.3,7060535,N/A,4482360,N/A,466700,24500,N/A,279637,3129643,N/A,4982008,N/A,1440,24875,785768,95,723399,94.4,2685485,350549,1852200,3266561,89.5,2921232,80.1,8966882,245818,388987,3419752,85.7,3048083,76.4,9309859,233334,355630,942704,22.4,939098,23.5,908614,24.9,869364,25.9,368385,48.1,N/A,N/A
Pennsylvania,42794625,334281,420901,27560188,215281,24898290,244884,11660475,91.1,10421335,95,9440201,73.7,8444097,83.1,21178525,N/A,13941120,N/A,1569200,82000,N/A,803448,9692431,N/A,14567846,N/A,2415,1979,2917441,95,2443965,95,8479833,354306,1788060,11103836,95,9000133,81.2,26383416,238085,386180,11556329,95,9369838,77.4,27335962,225841,353556,2402258,18.8,2393672,19.8,2339379,21.1,2261599,22.2,1100438,46,N/A,N/A
Puerto Rico,8835550,276656,337111,7838884,245449,6904975,263452,2904859,91,2498657,95,2687623,84.2,2320152,88.5,5014090,N/A,2843120,N/A,216600,2100,N/A,151673,2837628,N/A,4516150,N/A,99,283,651859,95,608851,89.6,2048812,301448,1300000,2719538,95,2527918,88.8,7479447,262594,310205,2898339,94.2,2685368,87.3,7827456,254451,287222,331283,10.4,331241,10.8,328142,11.5,321837,12.3,163164,24,N/A,N/A
Republic of Palau,52580,244195,317072,51971,241366,45216,272665,20801,95,17737,95,18557,86.2,15957,95,14390,N/A,30900,N/A,3800,N/A,N/A,2365,37949,N/A,9397,N/A,N/A,249,1885,94.6,1818,91.3,5682,285241,2639560,19280,95,17422,93.4,49016,262891,282006,20732,95,18537,91,51842,254464,258087,2012,9.3,2012,9.9,1946,10.4,1831,11,311,15.6,N/A,N/A
Rhode Island,3519625,332240,411717,2669189,251962,2407529,281626,1126465,95,993016,95,932310,88,819030,95,1754745,N/A,1154400,N/A,90600,4500,N/A,67220,917045,N/A,1417085,N/A,494,3093,235206,95,200703,95,732319,391518,1881690,1065011,95,881478,95,2559778,275990,379478,1117571,95,926663,92.2,2650611,263784,350267,272441,25.7,271918,27.1,265943,28.7,256830,30,111458,59.6,N/A,N/A
